"Name","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Dak Prescott","DAL","7","11","342.6","4.3","6.3","8.02","3","After returning Week 7 from a thumb injury, Dak was quietly the QB6 in points per game on the back of a league-leading 70.2 % completion rate inside the red zone. The major red flag was a career-high 15 INTs and now head coach Mike McCarthy says he wants to run the ball more bringing in new offensive coordinator Brian Schottenheimer. Maybe the presence of Brandin Cooks evens things out because the Cowboys lacked any semblance of a threat behind Ceedee Lamb last year in the passing game. We like Dak as a back-end QB1 but his days of top-5 upside are likely out the window.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Daniel Jones","NYG","13","12","339.0","3.7","5.8","10.11","4","If you are Daniel Jones, you need to be getting a full back tattoo of HC Brian Daboll. From failed franchise QB to franchise cornerstone, Jones led the league with a 1.1% INT rate and he also led in adjusted completion rate (81.1%), but it was his work on the ground that led to some big games averaging 44 rushing yards per contest. His Week 17 performance (36.2 fantasy points) won people fantasy championships and the lack of turnovers was a complete 180 from years past. But keep in mind that Jones was a top-10 QB only five times so it was hard for managers to fully trust rolling him out there until the end of the season. The Giants gave him a long-term extension so Danny Dimes is officially Danny Big Bills these days. Despite adding Darren Waller to the mix, he’s still a middling QB2 when you stat out the passing volume for this offense.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Tua Tagovailoa","MIA","10","13","331.5","8.2","6.9","8.11","4","Tua’s career is about as polarizing as you can get. But regardless of what you personally think, the Dolphins opinion is about all that matters and they’ve stuck by their decision to focus on Tua as their franchise QB. He broke out with new head coach Mike McDaniel leading the league in yards per attempt (8.9) and tying Patrick Mahomes for the highest TD rate (6.3%) in the NFL. Roll the dice again in the later rounds but keep in mind the Dolphins early season schedule (@LAC, @NE, DEN) and recognize that big plays will continue to happen with Tyreek Hill and Jaylen Waddle in town.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kirk Cousins","MIN","13","14","327.0","3.7","4.7","10.01","4","Captain Kirk is in the “good not great” tier of fantasy QBs. In 2022, he led the NFL in total air yards and passing TDs on 3rd down thanks in large part to Justin Jefferson. Head coach Kevin O’Connell‘s pass-happy approach definitely was a breath of fresh air after living under the disgruntled Mike Zimmer for years. The Vikings were a weekly roller coaster going 11-0 in one-score games but Kirk averaged 280 yards and two passing TDs in those contests. He will never be able to compete with the top tier thanks to his limited mobility, but he’s a dependable late-round QB every single year.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Aaron Rodgers","NYJ","7","15","324.5","5.5","6.6","10.09","4","Stop us if you’ve heard this before… A 39 year old Green Bay QB goes to New York in hopes of changing a long suffering franchise. The off-season drama is over and Rodgers finds himself in a Jets uniform with an upgrade in weapons and a team ready to win right now. 2022 was abysmal for the former MVP as he never surpassed 20 fantasy points in any given week. Consider him a fringe QB1 with incoming ceiling weeks if he can rework the magic he had with OC Nathaniel Hackett.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jared Goff","DET","9","16","311.4","3.2","5.2","11.06","5","It might’ve taken a minute to believe the Lions were legit but the formula for starting Jared Goff became simple: was he at home at Ford Field? Lions home games averaged 58.4 points per game (#1 in the NFL) and Goff smashed all year long there averaging 21.3 fantasy points, 274 passing yards, & 2.6 passing TDs per game. Goff’s 16 passing TDs inside the 5-yard line were 2nd in the NFL behind Mahomes and the 4th most over the last five years. This offense should continue to ascend with Jameson Williams logging an entire season and the team having confidence ending the year with a win over the Packers in Lambeau and finishing with a winning record (9-8). For 2023, expect him to be another solid late-round pick usable only in plus home matchups.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Anthony Richardson","IND","11","17","307.8","7.1","8.7","9.05","5","Did any prospect improve their NFL Draft stock more from the end of the college football season than Anthony Richardson? He put on a show at the NFL Combine and finds himself on an Indianapolis Colts squad in desperate need of his playmaking ability. Head coach Shane Steichen is a QB whisperer coordinating Justin Herbert's record-setting rookie season and Jalen Hurts' breakout campaign. Management has also hinted at Richardson getting experience as the starter sooner than later. Keep in mind that every rookie QB over the last 20 years that crossed 80 total rushing attempts maintained a top-10 QB per game pace. That’s roughly 4.7 carries per game, a number Richardson can achieve even in Year 1. As a thrower, he’s going to be a work in progress likely with low total passing volume so it’s unlikely he’s a game-breaker right away.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Russell Wilson","DEN","9","18","307.4","7.2","5.8","12.01","5","Welp! That didn't go according to plan, did it? The Broncos traded a ton to get Russ then gave him a 5-year extension worth over $240 million. He infamously had more bathrooms in his home than passing TDs until Week 17 and finished 25th in adjusted completion rate. He wasn’t afraid to chuck it deep, throwing 20+ yards downfield at the highest rate in the NFL. It's safe to say Mr. Unlimited was anything but...we'll see if this was just a one-year fluke with a bad scheme or if Russ has really lost it. Sean Payton will look to recreate the same magic he did with Drew Brees. If you have too many wounds from 2022, we get it. But keep in mind he had three top-5 finishes to end the year so cashing a lotto ticket from the late rounds of your draft with Russ isn’t the craziest thing we’ve heard this off-season.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Brock Purdy","SF","9","19","297.8","6.7","5.0","15.08","5","The 49ers’ offense is a constant roulette wheel at QB but Brock Purdy seems to be the one at the top of their list for 2023 despite his UCL elbow injury. He should get fully cleared at some point during training camp, but he'll start throwing in a limited capacity this summer. The 49ers were on a roll down the stretch with him winning his final six starts as he posted three top-10 fantasy performances. However, that hot streak will be hard to copy and paste despite the plethora of weapons he possesses. Without the ability to add significant yardage on the ground, Purdy is a low-end QB2 in our book.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Derek Carr","NO","11","20","284.8","3.7","4.7","14.02","5","After being the face of the Raiders franchise since 2014, Carr abruptly exited the Black and Silver trading it in for the Black and Gold of New Orleans. If there’s one thing you can count on, it’s the fact Carr refuses to be a top-12 QB for fantasy. He’s never done it, perhaps an unspoken oath he made long ago. Nevertheless, Carr can provide streamable moments in the right matchup and the weapons of Michael Thomas & Chris Olave are more than adequate in a winnable NFC South division. You can lock in 3,500+ passing yards and 25 TDs but anything much more is wishful thinking.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kyler Murray","ARI","14","21","284.5","8.0","7.0","13.06","5","After signing a massive 5-year, $235 million extension with $160 million guaranteed before the 2022 season, it seemed like the Cardinals were on the up & up with the 5’10” Murray. However, the team struggled and after a season-ending ACL tear in Week 14 versus New England, he’s a big question mark heading into 2023. His Week 1 status is up in the air but there is some optimism he returns sooner than the public realizes. The Cardinals have the highest projected odds to pick No. 1 overall next year. In other words, this could be a lost year in the desert for the franchise but Kyler’s ability to run is not going to suddenly evaporate. Our advice is to pair him with a bridge guy with a good early season schedule in 1QB leagues hoping Kyler returns to his 20+ fantasy point per game pace.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jimmy Garoppolo","LV","13","22","282.1","6.0","3.3","20.05","5","The Handsome One ends up in Las Vegas as the starter for Josh McDaniels’ squad. Davante Adams makes any QB look like a superhero and Jakobi Meyers’ addition is notable but perhaps the departure of Darren Waller ends up being a net-neutral for the offense. Garoppolo is a distributor more than an actual reliable fantasy option. In the right matchups, he can be a streamer but his ceiling always feels limited knowing his injury history and lack of rushing ability. He’s a back-end QB2… but a really, really, really ridiculously good-looking one to borrow a phrase from friend of the show Derek Zoolander.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Matthew Stafford","LAR","10","23","281.3","7.0","5.6","14.05","5","Last year was a lost cause for Stafford and the entire Rams organization after coming off a Super Bowl win. He started just nine games with one top-10 performance before bowing out for the rest of the year in Week 11. At 35 years old, it’s hard envisioning another magic season like 2021. Cooper Kupp is still elite so there will be weeks where the pair go for two TDs but the weapons behind him might be the thinnest in the league. We’ll let someone else take Stafford in 1QB leagues and find ourselves lower on the aging QB in 2023.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Ryan Tannehill","TEN","7","24","265.2","7.0","3.7","19.09","6","With one year left on his contract, this seems like the final swan song for Tannehill in Tennessee. He’s won over 65% of his starts since becoming the starter in 2019 but there’s been little correlation to fantasy success over the last two years. He has just three total games with 20+ fantasy points in that span making him a low ceiling option on a team that wants to run, run, and run again with Derrick Henry. The signing of DeAndre Hopkins signals the fact this front office is ready for one last ride with Tannehill.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Kenny Pickett","PIT","6","25","264.7","5.3","3.3","15.07","6","It wasn’t all roses for local boy and 1st round pick Kenny Pickett as a rookie. He was mostly irrelevant for fantasy, failing to surpass 20 fantasy points in any start thanks in part to the lowest TD rate (1.8%) of any rookie QB since 1990. Ouch. However, the Steelers looked competent down the stretch going 6-2 in his final eight starts knocking on the door of the playoffs until the final week of the season. Could he make a Trevor Lawrence-esque jump in 2023? It’s possible, but the playbook will need to be opened and the training wheels taken off before we can have any confidence in him as a weekly fantasy option, especially playing in the tough AFC North.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jordan Love","GB","6","26","262.7","5.7","4.7","13.11","6","Finally! We think… Love has exactly one more NFL start under his belt than you currently reading this entering Year 4 in the NFL. The Packers traded away Aaron Rodgers in hopes Love can lead this team and the weapons are still good enough to supply some fantasy value. He was never profiled as an elite runner coming out of Utah State so by no means should you hope for a top-end outcome. He could potentially become a streamer but this is a wait-and-see approach for the Packers and managers in redraft leagues.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Mac Jones","NE","11","27","254.9","4.7","3.5","21.01","6","Are you old enough to remember Jones leading the Patriots to the playoffs in Year 1 and posting the 2nd highest rookie completion percentage in NFL history? Last year the offense (apart from Rhamondre Stevenson) nosedived and there were moments when Bailey Zappe brought more life to the team than Mac. After an off-season where rumors swirled about them trading him or taking a rookie QB, he is entrenched as the starter yet again. New OC Bill O’Brien should be a vast improvement from what Uncle Bill cobbled together last year on offense but there are so many other QBs with more upside to go-all in with in 2023. It’s hard making a case for Jones to be anything more than a bottom-10 fantasy QB.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Bryce Young","CAR","7","28","247.4","5.0","4.3","12.09","6","The Panthers went all-in on the Golden Boy, Bryce Young. His college production was off-the-charts in the SEC and perhaps even more awe-inspiring on film was his improvisation and decision-making under duress. He’ll face a lot of challenges as a rookie adjusting to the NFL speed and throwing to a bottom-5 group of pass-catchers in Carolina. Since 2010, we’ve had only four rookie QBs surpass 4,000 passing yards and only three with more than 25 passing TDs. Those are the type of QB1 thresholds we look for fantasy. Could he have some streamable weeks at some point in this season? Sure. We’ll take a wait-and-see approach in 1QB leagues and let someone else overdraft him in SuperFlex based on the excitement.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"C.J. Stroud","HOU","7","29","240.9","5.3","4.3","14.05","6","The Ohio State QB was selected 2nd overall by the Texans after an emotional pre-draft process. He did nothing but slay in college with 85 passing TDs over his two years as the starter. The weapons in Houston are serviceable with veteran Robert Woods and TE Dalton Schultz providing some dependability along with John Metchie III debuting. The Texans have been in the Deshaun Watson doldrums winning just 11 total games over the last three years. Stroud is a field general with the ability to pick apart opposing zone schemes but as a rookie, it’s hard seeing him fully unleashed. A rookie QB on a bad team is not a recipe for fantasy success. We’re rooting for him but for 2023, we’ll place our bets elsewhere at QB.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Sam Howell","WAS","14","30","238.1","5.0","5.0","16.11","7","Howwwwwwwell! Yes, the 5th round pick from 2022 will get his chance to be the Commanders starting QB and we are pretty excited about it. We caught a small glimpse in Week 18 when he finished as a QB1 albeit against lesser competition. His WRs are solid and Howell can add enough yards on the ground to make some fantasy noise. Maybe this is all hype but we don’t mind taking a swing at Howell in Superflex leagues as a back-end QB2 or high upside QB3. His floor is nonexistent as he gets replaced by Jacoby Brissett but you could be looking at one of the sneakier players in fantasy in 2023.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Baker Mayfield","TB","5","31","235.0","6.0","3.5","22.05","7","Who is Baker Mayfield? What is Baker Mayfield? We’re not quite sure what he’s morphed into at this point in his career but heading into the summer, he might be the starter for an NFL team. The former No. 1 overall pick in 2018 is now on his 3rd team in a year and this Buccaneers team post-Tom Brady just feels downright awkward. Kyle Trask is also lurking and could easily overtake Baker as soon as you read this blurb on the toilet next week. At this point, we pray Baker is living off good vibes because as an undersized, inaccurate QB who doesn’t run for fantasy, he has as much appeal as a Nickelback cover band benefit concert.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Desmond Ridder","ATL","11","32","182.8","6.2","3.0","20.03","8","Ridder survived a Falcons’ off-season with Lamar Jackson rumors and received head coach Arthur Smith’s vote of confidence to begin the season as the starter. After sitting behind Marcus Mariota all year, Ridder finally got his shot over the final month of the season. The fantasy results weren’t exactly impressive as he threw two total TDs but Atlanta’s offense is built on running the football. This is still likely a low volume passing game making Ridder a non-inspiring option and destined to be bottom-5 in QB rankings.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Taylor Heinicke","ATL","11","33","117.3","6.0","4.0","39.05","8","In case you didn't get the memo, Heinicke fairy dust is not long-lasting. For one game, he can look like a leader and someone willing his team to victory. However, the next game could be a total porta-potty experience. No one willingly chooses to sit in that thing. You are forced into it and you regret it for days after. The veteran signed on as a backup in Atlanta. If Desmond Ridder falters, Heinicke could try to play ""budget hero"" once again.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Jacoby Brissett","WAS","14","34","102.5","5.5","3.5","36.03","9","Where's the Beef? Brissett was a stabilizing presence for the Browns offense before Deshaun Watson took over. For the first 11 games of the year, Cleveland ran the 2nd most plays per game and averaged 24 points per game. He was better than you think and now looks to compete with Sam Howell for the starting job in Washington. Howell likely will take the lead but Brissett should be on your radar at some point this year in Superflex leagues.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Colt McCoy","ARI","14","35","48.6","8.0","1.5","33.06","9","He could potentially see a few starts at the beginning of the year as Kyler Murray recovers but McCoy was born to be a capable backup, not a starter. The Cardinals could deploy him (or rookie Clayton Tune) at some point if Kyler's injury is worse than we imagine or if this team is going full ""pack-it-in""-mode and jumps ship for Caleb Williams in the 2024 draft.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Trey Lance","SF","9","36","0.0","8.5","7.5","17.02","9","It's Year 3 and we're still not sure Lance even knows who he is. The 49ers traded the house for him and ended up... with Brock Purdy. Lance has four total starts in two years and one of those was a monsoon game against Chicago. All early indications are pro-Purdy especially when you consider how the 7th rounder stepped and went on an insane run at the end of the year. Lance could get an opportunity if Purdy's rehab is slower than expected but it is a complete gamble. In deep 2QB leagues, he is worth taking a stab at on rushing upside alone but unless he is named the starter in San Francisco, we'll always be wondering what Trey Lance could be for fantasy.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
"Will Levis","TEN","7","37","0.0","5.0","3.0","22.12","9","If you are a fan of a high-T approach and the “prove ‘em all wrong” motivational tactic, Levis should be your QB1. Heck, if his methods for eating bananas are your cup of tea, induct him in the Hall of Fame. Jokes aside, Levis should be given some run ahead of Ryan Tannehill if the Titans fall out of contention at some point. His strong arm and ultra-aggressiveness as a runner is a strong formula for future fantasy goodness. We caution against expecting much in Year 1.","Unlock with the 2023 UDK+. Get the UDK+.","Mark Drafted                      Mark Keeper"
